2.6428863,-1.6223114,2.0819118
2.8439577,-1.6329489,1.9899090
3.0436024,-1.6221921,1.8979062
3.2390744,-1.5897338,1.8027775
3.4324821,-1.5333890,1.6733938
3.6149661,-1.4539449,1.5440101
3.7856150,-1.3504764,1.4051967
3.9407413,-1.2202230,1.2402057
4.0638217,-1.0659471,1.0752146
4.1437854,-0.8855094,1.1328209
4.1776152,-0.6871751,1.3769186
4.1733396,-0.4890930,1.6210163
4.1346096,-0.2833414,1.7821098
4.0702967,-0.0985257,1.9338436
3.9824730,0.0794142,2.0523819
3.8737856,0.2435388,2.1472092
3.7470482,0.3891649,2.2287099
3.5983527,0.5238000,2.3027398
3.4419743,0.6401977,2.3726210
3.2725897,0.7471292,2.4405928
3.0947358,0.8434691,2.5092224
2.9183675,0.9266941,2.5788230
2.7281526,1.0059305,2.6484235
2.5434064,1.0745272,2.7203676
2.3559877,1.1372743,2.7932154
2.1598102,1.1968560,2.8660632
1.9684179,1.2499164,2.9401038
1.7771680,1.2987187,3.0147471
1.5803058,1.3452336,3.0893905
1.3823089,1.3887768,3.1629029
1.1896632,1.4284607,3.2336750
0.9933891,1.4665218,3.3044471
0.7938573,1.5030692,3.3752192
0.5975452,1.5371756,3.4391018
0.4016823,1.5695705,3.4997544
0.2036630,1.6008221,3.5604070
0.0037097,1.6309948,3.6210596
-0.1928096,1.6594207,3.6615095
-0.3902077,1.6868458,3.6997896
-0.5888461,1.7133868,3.7380696
-0.7884918,1.7390739,3.7756239
-0.9861076,1.7635883,3.7677875
-1.1843983,1.7873042,3.7599511
-1.3831973,1.8102124,3.7521147
-1.5823092,1.8323005,3.7427773
-1.7812205,1.8535209,3.7136967
-1.9801541,1.8738975,3.6846162
-2.1789569,1.8934102,3.6555356
-2.3777032,1.9120596,3.6261369
-2.5777197,1.9299530,3.5943489
-2.7771517,1.9469117,3.5625609
-2.9758585,1.9629223,3.5307729
-3.1745258,1.9780322,3.4975121
-3.3754189,1.9923758,3.4584536
-3.5751430,2.0056615,3.4193950
-3.7735728,2.0178520,3.3803365
-3.9727298,2.0290255,3.3393531
-4.1740126,2.0392369,3.2950485
-4.3736327,2.0483649,3.2507438
-4.5715365,2.0565140,3.2064391
-4.7721094,2.0639127,3.1374282
-4.9732161,2.0701120,3.0546537
-5.1722916,2.0744059,2.9718792
-5.3696389,2.0761814,2.8891117
-5.5725757,2.0746344,2.8064936
-5.7728451,2.0687321,2.7238755
-5.9701457,2.0575344,2.6412574
-6.1697552,2.0395145,2.5622463
-6.3693900,2.0136561,2.4857068
-6.5649342,1.9797523,2.4091673
-6.7586589,1.9367018,2.3362260
-6.9530962,1.8826351,2.2715740
-7.1414858,1.8180486,2.2069221
-7.3240827,1.7417445,2.1425321
-7.5048572,1.6503238,2.0796304
-7.6754767,1.5469894,2.0167287
-7.8356072,1.4315797,1.9497331
-7.9896251,1.2987531,1.8549374
-8.1270325,1.1551199,1.7601418
-8.2481196,0.9985628,1.6764003
-8.3521518,0.8248792,1.6211369
-8.4297964,0.6434555,1.5658735
-8.4793596,0.4491881,1.5804428
-8.4963143,0.2492820,1.6395217
-8.4796740,0.0534873,1.6957816
-8.4261573,-0.1438861,1.7280181
-8.3425538,-0.3206936,1.7602546
-8.2263400,-0.4836606,1.8499060
-8.0849253,-0.6216150,1.9531529
-7.9264432,-0.7346536,2.0526049
-7.7496767,-0.8289815,2.1506176
-7.5669810,-0.9029376,2.2271662
-7.3779964,-0.9612068,2.2878492
-7.1764869,-1.0070686,2.3459412
-6.9862706,-1.0376901,2.3853542
-6.7855417,-1.0589413,2.4247671
-6.5819684,-1.0705167,2.4599959
-6.3865468,-1.0732967,2.4852895
-6.1853507,-1.0685565,2.5105832
-5.9813505,-1.0565882,2.5361223
-5.7856894,-1.0388438,2.5630402
-5.5871712,-1.0149710,2.5899581
-5.3865498,-0.9851309,2.6168760
-5.1903035,-0.9506072,2.6679875
-4.9949143,-0.9114297,2.7262058
-4.7990513,-0.8678735,2.7844241
-4.6039020,-0.8206999,2.8439187
-4.4111046,-0.7710107,2.9069372
-4.2181551,-0.7191319,2.9699557
-4.0248322,-0.6659532,3.0329742
-3.8324487,-0.6127812,2.9981285
-3.6399790,-0.5601966,2.9216108
-3.4466461,-0.5088041,2.8450931
-3.2524558,-0.4594202,2.7703128
-3.0584336,-0.4130653,2.7118236
-2.8633182,-0.3701217,2.6533343
-2.6671068,-0.3312875,2.5948450
-2.4702251,-0.2973264,2.5442516
-2.2727550,-0.2688357,2.5027209
-2.0742351,-0.2462671,2.4611902
-1.8746923,-0.2301591,2.4196595
-1.6753364,-0.2210968,2.3671799
-1.4756324,-0.2196205,2.3122624
-1.2757851,-0.2264120,2.2573450
-1.0762450,-0.2421698,2.1990943
-0.8775087,-0.2673347,2.1211339
-0.6803721,-0.3016475,2.0431736
-0.4856140,-0.3447405,1.9652132
-0.2921802,-0.3967726,1.9452026
-0.1004781,-0.4574694,1.9898871
0.0871828,-0.5255120,2.0345716
0.2705807,-0.6000788,2.0792561
0.4548414,-0.6827602,2.1578069
0.6353895,-0.7704443,2.2412626
0.8118173,-0.8612827,2.3247182
0.9879368,-0.9556227,2.3936163
1.1658536,-1.0527467,2.4400877
1.3408433,-1.1476804,2.4865592
1.5145410,-1.2387623,2.5221756
1.6971989,-1.3284661,2.4373199
1.8792662,-1.4096810,2.3524642
2.0618937,-1.4811947,2.2676085
2.2536077,-1.5437913,2.2658417
2.4473347,-1.5917956,2.2658417
2.6428863,-1.6223114,2.0819118
